GTP [ChEBI:15996],CHEBI:15996
alpha-D-Man-(1->2)-alpha-D-Man-(1->2)-alpha-D-Man-(1->3)-[alpha-D-Man-(1->3)-[alpha-D-Man-(1->2)-alpha-D-Man-(1->6)]-alpha-D-Man-(1->6)]-beta-D-Man-(1->4)-beta-D-GlcNAc [ChEBI:91282],CHEBI:91282
alpha-D-Man-(1->2)-alpha-D-Man-(1->3)-[alpha-D-Man-(1->2)-alpha-D-Man-(1->3)-[alpha-D-Man-(1->2)-alpha-D-Man-(1->6)]-alpha-D-Man-(1->6)]-beta-D-Man-(1->4)-beta-D-GlcNAc [ChEBI:91281],CHEBI:91281
N-{alpha-Glc-(1->3)-alpha-Man-(1->2)-alpha-Man-(1->2)-alpha-Man-(1->3)-[alpha-Man-(1->2)-alpha-Man-(1->3)-[alpha-Man-(1->2)-alpha-Man-(1->6)]-alpha-Man-(1->6)]-beta-Man-(1->4)-beta-GlcNAc-(1->4)-beta-GlcNAc}-L-Asn residue [ChEBI:59080],CHEBI:59080
N-{alpha-Glc-(1->3)-alpha-Glc-(1->3)-alpha-Man-(1->2)-alpha-Man-(1->2)-alpha-Man-(1->3)-[alpha-Man-(1->2)-alpha-Man-(1->3)-[alpha-Man-(1->2)-alpha-Man-(1->6)]-alpha-Man-(1->6)]-beta-Man-(1->4)-beta-GlcNAc-(1->4)-beta-GlcNAc}-L-Asn residue [ChEBI:59082],CHEBI:59082
N-{alpha-Glc-(1->2)-alpha-Glc-(1->3)-alpha-Glc-(1->3)-alpha-Man-(1->2)-alpha-Man-(1->2)-alpha-Man-(1->3)-[alpha-Man-(1->2)-alpha-Man-(1->3)-[alpha-Man-(1->2)-alpha-Man-(1->6)]-alpha-Man-(1->6)]-beta-Man-(1->4)-beta-GlcNAc-(1->4)-beta-GlcNAc}-L-Asn residue [ChEBI:59084],CHEBI:59084
alpha-D-Glc-(1->3)-alpha-D-Man-(1->2)-alpha-D-Man-(1->2)-alpha-D-Man-(1->3)-[alpha-D-Man-(1->3)-[alpha-D-Man-(1->2)-alpha-D-Man-(1->6)]-alpha-D-Man-(1->6)]-beta-D-Man-(1->4)-beta-D-GlcNAc-(1->4)-D-GlcNAc [ChEBI:64046],CHEBI:64046
alpha-D-Man-(1->2)-alpha-D-Man-(1->2)-alpha-D-Man-(1->3)-[alpha-D-Man-(1->6)-[alpha-D-Man-(1->2)-alpha-D-Man-(1->3)]-alpha-D-Man-(1->6)]-beta-D-Man-(1->4)-beta-D-GlcNAc-(1->4)-D-GlcNAc [ChEBI:64052],CHEBI:64052
alpha-D-Man-(1->2)-alpha-D-Man-(1->2)-alpha-D-Man-(1->3)-[alpha-D-Man-(1->3)-[alpha-D-Man-(1->2)-alpha-D-Man-(1->6)]-alpha-D-Man-(1->6)]-beta-D-Man-(1->4)-beta-D-GlcNAc-(1->4)-D-GlcNAc [ChEBI:64048],CHEBI:64048
N(4)-{alpha-D-Man-(1->3)-[alpha-D-Man-(1->2)-alpha-D-Man-(1->3)-[alpha-D-Man-(1->2)-alpha-D-Man-(1->6)]-alpha-D-Man-(1->6)]-beta-D-Man-(1->4)-beta-D-GlcNAc-(1->4)-beta-D-GlcNAc}-Asn residue [ChEBI:60640],CHEBI:60640
proteoglycan [ChEBI:37396],CHEBI:37396
beta-D-glucuronosyl-(1->3)-beta-D-galactosyl-(1->4)-beta-D-glucosaminyl group [ChEBI:86336],CHEBI:86336
3'-phospho-5'-adenylyl sulfate [ChEBI:17980],CHEBI:17980
3-O-sulfo-beta-D-glucuronosyl-(1->3)-beta-D-galactosyl-(1->4)-beta-D-glucosaminyl group [ChEBI:86335],CHEBI:86335
beta-D-galactosyl-(1->3)-N-acetyl-D-glucosaminyl group [ChEBI:18915],CHEBI:18915
beta-D-galactosyl-(1->3)-[alpha-L-fucosyl-(1->4)]-N-acetyl-D-glucosaminyl group [ChEBI:18914],CHEBI:18914
N(4)-{beta-D-GlcNAc-(1->2)-alpha-D-Man-(1->3)-[alpha-D-Man-(1->3)-[alpha-D-Man-(1->6)]-alpha-D-Man-(1->6)]-beta-D-Man-(1->4)-beta-D-GlcNAc-(1->4)-beta-D-GlcNAc}-Asn residue [ChEBI:60625],CHEBI:60625
N(4)-{beta-D-GlcNAc-(1->2)-alpha-D-Man-(1->3)-[alpha-D-Man-(1->6)]-beta-D-Man-(1->4)-beta-D-GlcNAc-(1->4)-beta-D-GlcNAc}-Asn residue [ChEBI:60615],CHEBI:60615
N-glycan [ChEBI:59520],CHEBI:59520
L-fucopyranose [ChEBI:2181],CHEBI:2181
N(4)-{beta-D-GlcNAc-(1->2)-alpha-D-Man-(1->3)-[beta-D-GlcNAc-(1->2)-alpha-D-Man-(1->6)]-beta-D-Man-(1->4)-beta-D-GlcNAcl-(1->4)-beta-D-GlcNAc}-Asn residue [ChEBI:60651],CHEBI:60651
N(4)-{alpha-D-Man-(1->2)-alpha-D-Man-(1->3)-[alpha-D-Man-(1->3)-[alpha-D-Man-(1->2)-alpha-D-Man-(1->6)]-alpha-D-Man-(1->6)]-beta-D-Man-(1->4)-beta-D-GlcNAc-(1->4)-beta-D-GlcNAc}-Asn residue [ChEBI:60637],CHEBI:60637
N-{alpha-Man-(1->4)-alpha-Man-(1->4)-alpha-Man-(1->3)-[alpha-Man-(1->3)-[alpha-Man-(1->4)-alpha-Man-(1->6)]-alpha-Man-(1->6)]-beta-Man-(1->4)-beta-GlcNAc-(1->4)-beta-GlcNAc}-L-Asn residue [ChEBI:59089],CHEBI:59089
UDP-alpha-D-glucuronic acid [ChEBI:17200],CHEBI:17200
UDP-alpha-D-xylose [ChEBI:16082],CHEBI:16082
alpha-D-GlcNAc-(1->4)-beta-D-GlcA-(1->3)-beta-D-Gal-(1->3)-beta-D-Gal-(1->4)-beta-D-Xyl-yl group [ChEBI:63645],CHEBI:63645
beta-D-GlcA-(1->3)-beta-D-Gal-(1->3)-beta-D-Gal-(1->4)-beta-D-Xyl-yl group [ChEBI:63505],CHEBI:63505
alpha-D-GlcN-(1->4)-beta-D-GlcA-(1->3)-beta-D-Gal-(1->3)-beta-D-Gal-(1->4)-beta-D-Xyl-yl group [ChEBI:63811],CHEBI:63811
alpha-D-GlcNS3S-(1->4)-beta-D-GlcA-(1->3)-beta-D-Gal-(1->3)-beta-D-Gal-(1->4)-beta-D-Xyl-yl group [ChEBI:63810],CHEBI:63810
beta-D-IdoA-(1->4)-alpha-D-GlcNS3S-(1->4)-beta-D-GlcA-(1->3)-beta-D-Gal-(1->3)-beta-D-Gal-(1->4)-beta-D-Xyl-yl group [ChEBI:63809],CHEBI:63809
aldehydo-L-iduronic acid [ChEBI:28481],CHEBI:28481
beta-D-IdoA2S-(1->4)-alpha-D-GlcNS3S-(1->4)-beta-D-GlcA-(1->3)-beta-D-Gal-(1->3)-beta-D-Gal-(1->4)-beta-D-Xyl-yl group [ChEBI:63808],CHEBI:63808
alpha-D-GlcNAc-(1->4)-beta-D-IdoA2S-(1->4)-alpha-D-GlcNS3S-(1->4)-beta-D-GlcA-(1->3)-beta-D-Gal-(1->3)-beta-D-Gal-(1->4)-beta-D-Xyl-yl group [ChEBI:63807],CHEBI:63807
alpha-D-GlcN-(1->4)-beta-D-IdoA2S-(1->4)-alpha-D-GlcNS3S-(1->4)-beta-D-GlcA-(1->3)-beta-D-Gal-(1->3)-beta-D-Gal-(1->4)-beta-D-Xyl-yl group [ChEBI:63806],CHEBI:63806
alpha-D-GlcNS6S-(1->4)-beta-D-IdoA2S-(1->4)-alpha-D-GlcNS3S-(1->4)-beta-D-GlcA-(1->3)-beta-D-Gal-(1->3)-beta-D-Gal-(1->4)-beta-D-Xyl-yl group [ChEBI:63805],CHEBI:63805
beta-D-IdoA-(1->4)-alpha-D-GlcNS6S-(1->4)-beta-D-IdoA2S-(1->4)-alpha-D-GlcNS3S-(1->4)-beta-D-GlcA-(1->3)-beta-D-Gal-(1->3)-beta-D-Gal-(1->4)-beta-D-Xyl-yl group [ChEBI:63666],CHEBI:63666
5'-adenylyl sulfate [ChEBI:17709],CHEBI:17709
beta-D-Gal-(1->3)-beta-D-Gal-(1->4)-beta-D-Xyl-yl group [ChEBI:63503],CHEBI:63503
D-glucuronic acid [ChEBI:4178],CHEBI:4178
aldehydo-D-xylose [ChEBI:15936],CHEBI:15936
alpha-D-galactose [ChEBI:28061],CHEBI:28061
beta-D-GlcpA-(1->3)-D-GlcpNAc [ChEBI:64024],CHEBI:64024
beta-D-Galp-(1->4)-beta-D-GlcpNAc6S-(1->3)-beta-D-Galp-(1->4)-beta-D-GlcpNAc6S-(1->3)-D-Galp [ChEBI:63850],CHEBI:63850
beta-D-GlcpNAc6S-(1->3)-beta-D-Galp-(1->4)-beta-D-GlcpNAc6S-(1->3)-D-Galp [ChEBI:63851],CHEBI:63851
beta-D-Galp6S-(1->4)-beta-D-GlcpNAc6S-(1->3)-beta-D-Galp-(1->4)-beta-D-GlcpNAc6S-(1->3)-D-Galp [ChEBI:63846],CHEBI:63846
beta-D-GlcpNAc-(1->3)-beta-D-Galp-(1->4)-beta-D-GlcpNAc6S-(1->3)-D-Galp [ChEBI:63852],CHEBI:63852
N-acetyl-D-galactosamine [ChEBI:28037],CHEBI:28037
beta-D-Galp-(1->4)-beta-D-GlcpNAc6S-(1->3)-D-Galp [ChEBI:63853],CHEBI:63853
beta-D-GalNAc4S-(1->4)-beta-D-IdoA2S-(1->3)-beta-D-GalNAc4S-(1->4)-beta-D-GlcA-(1->3)-beta-D-Gal-(1->3)-beta-D-Gal-(1->4)-beta-D-Xyl-yl group [ChEBI:63519],CHEBI:63519
beta-D-GalNAc-(1->4)-beta-D-IdoA2S-(1->3)-beta-D-GalNAc4S-(1->4)-beta-D-GlcA-(1->3)-beta-D-Gal-(1->3)-beta-D-Gal-(1->4)-beta-D-Xyl-yl group [ChEBI:63517],CHEBI:63517
beta-D-GalNAc-(1->4)-beta-D-GlcA-(1->3)-beta-D-GalNAc6S-(1->4)-beta-D-GlcA-(1->3)-beta-D-Gal-(1->3)-beta-D-Gal-(1->4)-beta-D-Xyl-yl group [ChEBI:63512],CHEBI:63512
beta-D-GalNAc-(1->4)-beta-D-GlcA-(1->3)-beta-D-GalNAc4S-(1->4)-beta-D-GlcA-(1->3)-beta-D-Gal-(1->3)-beta-D-Gal-(1->4)-beta-D-Xyl-yl group [ChEBI:63513],CHEBI:63513
beta-D-GalNAc-(1->4)-beta-D-GlcA-(1->3)-beta-D-GalNAc-(1->4)-beta-D-GlcA-(1->3)-beta-D-Gal-(1->3)-beta-D-Gal-(1->4)-beta-D-Xyl-yl group [ChEBI:63511],CHEBI:63511
beta-D-IdopA-(1->3)-beta-D-GalpNAc4S-(1->4)-beta-D-GlcpA-(1->3)-beta-D-Galp-(1->3)-beta-D-Galp-(1->4)-beta-D-Xylp [ChEBI:63873],CHEBI:63873
beta-D-GalpNAc4S-(1->4)-beta-D-GlcpA-(1->3)-beta-D-Galp-(1->3)-beta-D-Galp-(1->4)-beta-D-Xylp [ChEBI:63868],CHEBI:63868
beta-D-GalNAc-(1->4)-beta-D-IdoA-(1->3)-beta-D-GalNAc4S-(1->4)-beta-D-GlcA-(1->3)-beta-D-Gal-(1->3)-beta-D-Gal-(1->4)-beta-D-Xyl-yl group [ChEBI:63516],CHEBI:63516
"beta-D-GalNAc-(1->4)-beta-D-GlcA-(1->3)-beta-D-GalNAc4,6S2-(1->4)-beta-D-GlcA-(1->3)-beta-D-Gal-(1->3)-beta-D-Gal-(1->4)-beta-D-Xyl-yl group [ChEBI:63515]",CHEBI:63515
"2,3-bisphosphoglycerate [ChEBI:19324]",CHEBI:19324
D-glucitol 6-phosphate [ChEBI:17044],CHEBI:17044
"alpha-D-glucose 1,6-bisphosphate [ChEBI:18148]",CHEBI:18148
alpha-L-Fuc-(1->2)-beta-D-Gal-(1->4)-beta-D-GlcNAc-(1->3)-alpha-D-Gal-yl group [ChEBI:139351],CHEBI:139351
alpha-D-Gal-(1->3)-[alpha-L-Fuc-(1->2)]-beta-D-Gal-(1->4)-beta-D-GlcNAc-(1->3)-alpha-D-Gal-yl group [ChEBI:139353],CHEBI:139353
alpha-D-Gal-(1->3)-alpha-D-GlcNAc-(1->4)-D-Gal-yl group [ChEBI:139350],CHEBI:139350
alpha-L-Fuc-(1->2)-beta-D-Gal-(1->3)-beta-D-GlcNAc-(1->3)-alpha-D-Gal-yl group [ChEBI:140180],CHEBI:140180
alpha-L-Fuc-(1->2)-[alpha-D-Gal-(1->3)]-beta-D-Gal-(1->3)-beta-D-GlcNAc-(1->3)-alpha-D-Gal-yl group [ChEBI:140187],CHEBI:140187
beta-D-Gal-(1->3)-beta-D-GlcNAc-(1->3)-alpha-D-Gal-yl group [ChEBI:140162],CHEBI:140162
alpha-L-Fuc-(1->2)-[alpha-D-GalNAc-(1->3)]-beta-D-Gal-(1->3)-beta-D-GlcNAc-(1->3)-alpha-D-Gal-yl group [ChEBI:140186],CHEBI:140186
alpha-D-GalNAc-(1->3)-[alpha-L-Fuc-(1->2)]-beta-D-Gal-(1->4)-beta-D-GlcNAc-(1->3)-alpha-D-Gal-yl group [ChEBI:139352],CHEBI:139352
Type 1 monosialylgalactosylgloboside [ChEBI:140917],CHEBI:140917
"GlcNAc-beta1,3-Gal-R [ChEBI:140876]",CHEBI:140876
Lewis A antigen [ChEBI:140878],CHEBI:140878
Lewis X antigen [ChEBI:140911],CHEBI:140911
Type 1 disialyl-paragloboside [ChEBI:140919],CHEBI:140919
disialyl-Lewis A antigen [ChEBI:140915],CHEBI:140915
Type 2 monosialylgalactosylgloboside [ChEBI:140918],CHEBI:140918
Sda antigen [ChEBI:140913],CHEBI:140913
sialyl Lewis A antigen [ChEBI:140914],CHEBI:140914
sialyl-Lewis X antigen [ChEBI:140916],CHEBI:140916
Lewis Y antigen [ChEBI:140912],CHEBI:140912
Lewis B antigen [ChEBI:140910],CHEBI:140910
nitrite [ChEBI:16301],CHEBI:16301
"P(1),P(4)-bis(5'-guanosyl) tetraphosphate [ChEBI:15883]",CHEBI:15883
"1,2-Naphthoquinone [ChEBI:34055]",CHEBI:34055
semiquinone [ChEBI:15817],CHEBI:15817
deoxyribonucleic acid [ChEBI:16991],CHEBI:16991
c-di-GMP [ChEBI:49537],CHEBI:49537
cyclic purine dinucleotide [ChEBI:47037],CHEBI:47037
c-GMP-AMP [ChEBI:71580],CHEBI:71580
resiquimod [ChEBI:36706],CHEBI:36706
imiquimod [ChEBI:36704],CHEBI:36704
peptide [ChEBI:16670],CHEBI:16670
N(6)-(1-carboxyethyl)-L-lysine [ChEBI:60125],CHEBI:60125
N(6)-carboxymethyl-L-lysine [ChEBI:53014],CHEBI:53014
ferriheme b(1-) [ChEBI:55376],CHEBI:55376
nitrogen dioxide [ChEBI:33101],CHEBI:33101
thiocyanate [ChEBI:18022],CHEBI:18022
hypothiocyanous acid [ChEBI:133907],CHEBI:133907
hypochlorous acid [ChEBI:24757],CHEBI:24757
nitryl chloride [ChEBI:142774],CHEBI:142774
beta-GlcNAc-(1->4)-MurNAc-L-Ala-gamma-D-Glu-N(6)-(beta-D-Asp)-L-Lys-(D-Ala)2 [ChEBI:55478],CHEBI:55478
beta-GlcNAc-(1->4)-MurNAc-L-Ala-gamma-D-Glu-L-Lys-(D-Ala)2 [ChEBI:55424],CHEBI:55424
N-acetyl-D-muramic acid [ChEBI:21615],CHEBI:21615
dinitrogen trioxide [ChEBI:29799],CHEBI:29799
hydroperoxyl [ChEBI:25935],CHEBI:25935
hydroxide [ChEBI:16234],CHEBI:16234
tetra-mu3-sulfido-tetrairon(2+) [ChEBI:33722],CHEBI:33722
tri-mu-sulfido-mu3-sulfido-triiron(1+) [ChEBI:33751],CHEBI:33751
"8,5'-cyclo-2'-deoxyadenosine [ChEBI:131825]",CHEBI:131825
oxidonitrogen(1+) [ChEBI:29120],CHEBI:29120
S-nitrosoglutathione [ChEBI:50091],CHEBI:50091
nitrosoperoxycarbonate(1-) [ChEBI:62726],CHEBI:62726
nitrous acid [ChEBI:25567],CHEBI:25567
carboxymycobactin [ChEBI:62579],CHEBI:62579
desferrimycobactin T [ChEBI:61168],CHEBI:61168
carbonate [ChEBI:41609],CHEBI:41609
ferrienterobactin(3-) [ChEBI:28199],CHEBI:28199
enterobactin [ChEBI:28855],CHEBI:28855
mycothiol [ChEBI:16768],CHEBI:16768
S-nitrosomycothiol [ChEBI:59637],CHEBI:59637
mycothione [ChEBI:16086],CHEBI:16086
5-L-glutamyl amino acid [ChEBI:15857],CHEBI:15857
S-nitroso-L-cysteinylglycine [ChEBI:61088],CHEBI:61088
F420(red.) [ChEBI:141635],CHEBI:141635
F420(ox.) [ChEBI:141634],CHEBI:141634
17beta-hydroxy-5alpha-androstan-3-one [ChEBI:16330],CHEBI:16330
6-dehydrotestosterone [ChEBI:29117],CHEBI:29117
testosterone [ChEBI:17347],CHEBI:17347
"androst-4-ene-3,17-dione [ChEBI:16422]",CHEBI:16422
asbestos [ChEBI:46661],CHEBI:46661
hyaluronic acid [ChEBI:16336],CHEBI:16336
silicon dioxide [ChEBI:30563],CHEBI:30563
uridine residue [ChEBI:73747],CHEBI:73747
7-methylguanosine 5'-phosphate(1+) [ChEBI:17825],CHEBI:17825
7-methylguanosine [ChEBI:20794],CHEBI:20794
sphingomyelin d18:1 [ChEBI:17636],CHEBI:17636
phosphocholine [ChEBI:18132],CHEBI:18132
N-acylsphingosine [ChEBI:52639],CHEBI:52639
glycosaminoglycan [ChEBI:18085],CHEBI:18085
cyclosporin A [ChEBI:4031],CHEBI:4031
tacrolimus (anhydrous) [ChEBI:61049],CHEBI:61049
hexadecanoate [ChEBI:7896],CHEBI:7896
iron(III) oxide-hydroxide(1-) [ChEBI:78619],CHEBI:78619
"2,5-dihydroxybenzoic acid [ChEBI:17189]",CHEBI:17189
biliverdin [ChEBI:17033],CHEBI:17033
carbon monoxide [ChEBI:17245],CHEBI:17245
mannan [ChEBI:28808],CHEBI:28808
"trehalose 6,6'-dimycolate [ChEBI:82624]",CHEBI:82624
lipoarabinomannan [ChEBI:59524],CHEBI:59524
anionic phospholipid [ChEBI:62643],CHEBI:62643
lipid II [ChEBI:27692],CHEBI:27692
L-alanyl-gamma-D-glutamyl-L-lysyl-D-alanine [ChEBI:61626],CHEBI:61626
2-acetamido-3-O-[(1R)-1-carboxylatoethyl]-2-deoxy-D-glucopyranose [ChEBI:28881],CHEBI:28881
L-glycero-alpha-D-manno-heptopyranose [ChEBI:42976],CHEBI:42976
beta-D-galactofuranosyl group [ChEBI:59496],CHEBI:59496
3-deoxy-alpha-D-manno-oct-2-ulosonate [ChEBI:85986],CHEBI:85986
oligopeptide [ChEBI:25676],CHEBI:25676
heparins [ChEBI:24505],CHEBI:24505
"3,4-dihydroxymandelaldehyde [ChEBI:27852]",CHEBI:27852
oleoyl ethanolamide [ChEBI:71466],CHEBI:71466
N-(octadecanoyl)ethanolamine [ChEBI:85299],CHEBI:85299
N-(dodecanoyl)ethanolamine [ChEBI:85263],CHEBI:85263
palmitoyl ethanolamide [ChEBI:71464],CHEBI:71464
N-(tetradecanoyl)ethanolamine [ChEBI:85262],CHEBI:85262
"L-2,4-diaminobutyric acid [ChEBI:48950]",CHEBI:48950
3-methoxytyramine [ChEBI:1582],CHEBI:1582
"1-chloro-2,4-dinitrobenzene [ChEBI:34718]",CHEBI:34718
bufotenin [ChEBI:3210],CHEBI:3210
(5-hydroxyindol-3-yl)acetaldehyde [ChEBI:50157],CHEBI:50157
(5-hydroxyindol-3-yl)acetic acid [ChEBI:27823],CHEBI:27823
oxidised phospholipid [ChEBI:60156],CHEBI:60156
hydroperoxy fatty acid [ChEBI:64009],CHEBI:64009
7-ketocholesterol [ChEBI:64294],CHEBI:64294
hydroxy fatty acid [ChEBI:24654],CHEBI:24654
progesterone [ChEBI:17026],CHEBI:17026
cadmium(2+) [ChEBI:48775],CHEBI:48775
arsenic(3+) [ChEBI:35828],CHEBI:35828
"1D-myo-inositol 1,4,5,6-tetrakisphosphate(8-) [ChEBI:57627]",CHEBI:57627
ceramide [ChEBI:17761],CHEBI:17761
carboxylic acid [ChEBI:33575],CHEBI:33575
keratan sulfate [ChEBI:60924],CHEBI:60924
HNK-1 carbohydrate [ChEBI:53170],CHEBI:53170
phosphate monoester [ChEBI:7794],CHEBI:7794
alcohol [ChEBI:30879],CHEBI:30879
glycocholic acid [ChEBI:17687],CHEBI:17687
taurocholic acid [ChEBI:28865],CHEBI:28865
glycochenodeoxycholic acid [ChEBI:36274],CHEBI:36274
taurochenodeoxycholate [ChEBI:9407],CHEBI:9407
all-trans-retinyl palmitate [ChEBI:17616],CHEBI:17616
all-trans-retinol [ChEBI:17336],CHEBI:17336
quercetin [ChEBI:16243],CHEBI:16243
"2-(3,4-dihydroxybenzoyloxy)-4,6-dihydroxybenzoic acid [ChEBI:16068]",CHEBI:16068
isomaltose [ChEBI:28189],CHEBI:28189
maltose [ChEBI:17306],CHEBI:17306
alpha-maltotriose [ChEBI:27931],CHEBI:27931
limit dextrin [ChEBI:28912],CHEBI:28912
N-acetyl-beta-D-glucosaminyl-(1->4)-N-acetyl-beta-D-glucosaminyl group [ChEBI:86361],CHEBI:86361
N-acetyl-beta-D-glucosaminyl-(1->4)-N-acetyl-beta-D-glucosaminyl-(1->4)-N-acetyl-beta-D-glucosaminyl group [ChEBI:86362],CHEBI:86362
"alpha,alpha-trehalose [ChEBI:16551]",CHEBI:16551
chitotriose [ChEBI:84373],CHEBI:84373
2-amino-2-deoxy-D-glucopyranose [ChEBI:47977],CHEBI:47977
ezetimibe [ChEBI:49040],CHEBI:49040
phytosterols [ChEBI:26125],CHEBI:26125
alpha-D-Xyl-(1->3)-beta-D-GlcA [ChEBI:91124],CHEBI:91124
beta-D-GlcA-(1->3)-alpha-D-Xyl-(1->3)-beta-D-GlcA [ChEBI:91125],CHEBI:91125
alpha-D-Xyl-(1->3)-beta-D-GlcA-(1->3)-alpha-D-Xyl-(1->3)-beta-D-GlcA [ChEBI:133015],CHEBI:133015
ganglioside GT1b [ChEBI:60913],CHEBI:60913
alpha-N-acetylneuraminosyl-(2->3)-[beta-D-galactosyl-(1->3)-N-acetyl-beta-D-galactosaminyl-(1->4)]-beta-D-galactosyl-(1->4)-beta-D-glucosyl-(1<->1')-N-acylsphingosine [ChEBI:18216],CHEBI:18216
alpha-Neu5NAc-(2->8)-alpha-Neu5NAc-(2->3)-beta-D-Gal-(1->4)-beta-D-Glc-(1<->1')-Cer [ChEBI:28424],CHEBI:28424
beta-D-GalNAc-(1->4)-[alpha-Neu5Ac-(2->8)-alpha-Neu5Ac-(2->3)]-beta-D-Gal-(1->4)-beta-D-Glc-(1<->1')-Cer [ChEBI:28648],CHEBI:28648
sialic acid [ChEBI:26667],CHEBI:26667
heparan sulfate proteoglycan [ChEBI:24499],CHEBI:24499
Lipomannan [ChEBI:142968],CHEBI:142968
RNA polyanion [ChEBI:83400],CHEBI:83400
ribonucleoside 5'-triphosphate [ChEBI:37076],CHEBI:37076
all-trans-retinyl linoleate [ChEBI:70762],CHEBI:70762
all-trans-retinyl oleate [ChEBI:70760],CHEBI:70760
all-trans-retinyl stearate [ChEBI:70761],CHEBI:70761
oleoyl group [ChEBI:25667],CHEBI:25667
linoleoyl group [ChEBI:32386],CHEBI:32386
stearoyl group [ChEBI:26753],CHEBI:26753
palmitoyl group [ChEBI:45021],CHEBI:45021
all-trans-retinal [ChEBI:17898],CHEBI:17898
beta-carotene [ChEBI:17579],CHEBI:17579
"all-trans-13,14-dihydroretinol [ChEBI:52075]",CHEBI:52075
9-cis-retinoic acid [ChEBI:50648],CHEBI:50648
10'-apo-beta-carotenal [ChEBI:53153],CHEBI:53153
beta-ionone [ChEBI:32325],CHEBI:32325
11-cis-retinal [ChEBI:16066],CHEBI:16066
11-cis-retinol [ChEBI:16302],CHEBI:16302
11-cis-retinyl palmitate [ChEBI:16254],CHEBI:16254
N-retinylidenephosphatidylethanolamine [ChEBI:71063],CHEBI:71063
docosahexaenoic acid [ChEBI:36005],CHEBI:36005
hydroxydocosahexaenoic acid [ChEBI:72790],CHEBI:72790
N-retinylidene-N-retinylethanolamine [ChEBI:71980],CHEBI:71980
N-retinylidene-N-retinylphosphatidylethanolamine [ChEBI:52592],CHEBI:52592
cobalt atom [ChEBI:27638],CHEBI:27638
farnesyl diphosphate [ChEBI:50277],CHEBI:50277
(5Z)-tetradecenoyl-CoA [ChEBI:70712],CHEBI:70712
"cis,cis-tetradeca-5,8-dienoyl-CoA [ChEBI:70713]",CHEBI:70713
thiamine(1+) triphosphate [ChEBI:9534],CHEBI:9534
thiamine(1+) [ChEBI:18385],CHEBI:18385
pyridoxamine [ChEBI:16410],CHEBI:16410
pyridoxamine 5'-phosphate [ChEBI:18335],CHEBI:18335
pyridoxal [ChEBI:17310],CHEBI:17310
pyridoxal 5'-phosphate [ChEBI:18405],CHEBI:18405
pyridoxine 5'-phosphate [ChEBI:28803],CHEBI:28803
pyridoxine [ChEBI:16709],CHEBI:16709
4-pyridoxic acid [ChEBI:17405],CHEBI:17405
precursor Z(1-) [ChEBI:59648],CHEBI:59648
molybdopterin(3-) [ChEBI:58698],CHEBI:58698
molybdate [ChEBI:36264],CHEBI:36264
sulfurated eukaryotic molybdenum cofactor(2-) [ChEBI:60102],CHEBI:60102
"(6R)-5,10-methenyltetrahydrofolic acid [ChEBI:15638]",CHEBI:15638
"2,3-diketogulonate [ChEBI:57441]",CHEBI:57441
L-erythrulose [ChEBI:27913],CHEBI:27913
oxalate(2-) [ChEBI:30623],CHEBI:30623
L-threonate [ChEBI:57561],CHEBI:57561
3'-dephospho-CoA [ChEBI:15468],CHEBI:15468
pantetheine 4'-phosphate [ChEBI:16858],CHEBI:16858
N-[(R)-4-phosphopantothenoyl]-L-cysteine [ChEBI:15769],CHEBI:15769
(R)-4'-phosphopantothenic acid [ChEBI:15905],CHEBI:15905
pantothenic acid [ChEBI:7916],CHEBI:7916
pantetheine [ChEBI:16753],CHEBI:16753
riboflavin [ChEBI:17015],CHEBI:17015
biocytin [ChEBI:27870],CHEBI:27870
pregnenolone [ChEBI:16581],CHEBI:16581
17alpha-hydroxypregnenolone [ChEBI:28750],CHEBI:28750
di-mu-sulfido-diiron(1+) [ChEBI:33738],CHEBI:33738
"(20R,22R)-20,22-dihydroxycholesterol [ChEBI:1294]",CHEBI:1294
4-methylpentanal [ChEBI:17998],CHEBI:17998
di-mu-sulfido-diiron(2+) [ChEBI:33737],CHEBI:33737
(22S)-22-hydroxycholesterol [ChEBI:1301],CHEBI:1301
17alpha-hydroxyprogesterone [ChEBI:17252],CHEBI:17252
"pregn-5-ene-3,20-dione [ChEBI:63837]",CHEBI:63837
cortisone [ChEBI:16962],CHEBI:16962
"17alpha-hydroxypregn-5-ene-3,20-dione [ChEBI:63843]",CHEBI:63843
11-deoxycortisol [ChEBI:28324],CHEBI:28324
dehydroepiandrosterone [ChEBI:28689],CHEBI:28689
17beta-estradiol [ChEBI:16469],CHEBI:16469
estrone [ChEBI:17263],CHEBI:17263
18-hydroxycorticosterone [ChEBI:16485],CHEBI:16485
4-methylpentan-1-ol [ChEBI:63910],CHEBI:63910
resolvin E1 [ChEBI:81559],CHEBI:81559
(18S)-resolvin E1 [ChEBI:137038],CHEBI:137038
(18S)-resolvin E2 [ChEBI:137034],CHEBI:137034
resolvin E3 [ChEBI:138477],CHEBI:138477
5(S)6-epoxy-18(S)-HEPE [ChEBI:138490],CHEBI:138490
"(5S)-hydroperoxy-(18S)-hydroxy-(6E,8Z,11Z,14Z,16E)-icosapentaenoic acid [ChEBI:132802]",CHEBI:132802
18(S)-HEPE [ChEBI:132801],CHEBI:132801
(18S)-hydroperoxyicosapentaenoic acid [ChEBI:138387],CHEBI:138387
